project,cliff delta (magnitude): delivery delay: your,cliff delta (magnitude): delivery delay: author,cliff delta (magnitude): delivery delay: result,cliff delta (estimate): delivery delay: your,cliff delta (estimate): delivery delay: author,cliff delta (estimate): delivery delay: result,mww test (p value): delivery delay: your,mww test (p value): delivery delay: author,mww test (p value): delivery delay: result,cliff delta (magnitude): merge time: your,cliff delta (magnitude): merge time: author,cliff delta (magnitude): merge time: result,cliff delta (estimate): merge time: your,cliff delta (estimate): merge time: author,cliff delta (estimate): merge time: result,mww test (p value): merge time: your,mww test (p value): merge time: author,mww test (p value): merge time: result,cliff delta (magnitude): pr lifetime: your,cliff delta (magnitude): pr lifetime: author,cliff delta (magnitude): pr lifetime: result,cliff delta (estimate): pr lifetime: your,cliff delta (estimate): pr lifetime: author,cliff delta (estimate): pr lifetime: result,mww test (p value): pr lifetime: author,mww test (p value): pr lifetime: your,mww test (p value): pr lifetime: result
mantl/mantl,,,missing,0.0758296929,0.09,different,0.189598844,0.1187647244,different,,,missing,0.1034969899,0.126,different,0.0733479348,0.0297963259,different,,,missing,0.0704396775,0.094,different,missing,0.2230352979,missing
mapbox/mapbox-gl-js,,,missing,0.2699910153,0.282,close,0.0007060007,0.0004026613,different,,,missing,0.3445642408,0.34,close,1.53694e-05,2.04e-05,different,,,missing,0.3533692722,0.355,close,missing,9.2663e-06,missing
matplotlib/matplotlib,,,missing,0.0284218755,0.034,different,0.3694787399,0.2877091657,different,,,missing,-0.1172903091,-0.116,close,0.0002124859,0.000241304,different,,,missing,0.0139558556,0.018,different,missing,0.659465647,missing
mizzy/serverspec,,,missing,0.025703125,0.039,different,0.7048584792,0.5623210455,different,,,missing,0.3580859375,0.356,close,1.484e-07,1.74e-07,different,,,missing,0.3598046875,0.385,different,missing,1.314e-07,missing
mozilla-b2g/gaia,,,missing,-0.070927617,-0.071,close,0.0,4.57e-13,close,,,missing,0.4063526612,0.414,close,0.0,0.0,exact,,,missing,-0.0485019009,-0.051,close,missing,6.611e-07,missing
mozilla/pdf.js,,,missing,-0.4597874253,-0.474,close,0.0,2.4e-99,close,,,missing,0.2429252531,0.242,close,0.0,3.14e-27,close,,,missing,-0.4154394358,-0.439,different,missing,0.0,missing
netflix/hystrix,,,missing,0.1937355351,0.209,different,0.0004507889,0.00015035,different,,,missing,0.1446175017,0.14,close,0.008733469,0.0113370419,different,,,missing,0.1826171264,0.189,close,missing,0.0009438574,missing
openhab/openhab,,,missing,0.167566582,0.173,close,1.008e-07,4e-08,different,,,missing,-0.1265018194,-0.13,close,5.79606e-05,3.57e-05,different,,,missing,0.1812221595,0.194,different,missing,8.4e-09,missing
owncloud/core,,,missing,-0.1650082822,-0.173,close,0.0,9.41e-38,close,,,missing,-0.0065002654,-0.002,different,0.6287376418,0.8712971826,different,,,missing,-0.1594374625,-0.171,different,missing,0.0,missing
photonstorm/phaser,,,missing,0.2454839809,0.283,different,2.4169e-06,5.45e-08,different,,,missing,0.3339541338,0.326,close,1e-10,3.91e-10,close,,,missing,0.3382997371,0.366,different,missing,1e-10,missing
processing/p5.js,,,missing,-0.0264071856,-0.023,different,0.6889129583,0.7288085019,different,,,missing,0.1464071856,0.153,close,0.0263000446,0.0204442427,different,,,missing,0.0099401198,0.023,different,missing,0.8804427653,missing
puppetlabs/puppet,,,missing,-0.1570023796,-0.164,close,3.99461e-05,1.81e-05,different,,,missing,0.177149733,0.188,different,3.5701e-06,8.17e-07,different,,,missing,-0.159707716,-0.17,different,missing,2.93343e-05,missing
pylons/pyramid,,,missing,0.3396300598,0.368,different,1e-10,1.32e-12,close,,,missing,-0.2621156033,-0.26,close,2.937e-07,3.59e-07,different,,,missing,0.3380513416,0.372,different,missing,1e-10,missing
pyrocms/pyrocms,,,missing,0.2479917411,0.251,close,1.94e-08,1.25e-08,close,,,missing,0.1026954221,0.108,close,0.0200173604,0.0144211427,different,,,missing,0.254105236,0.252,close,missing,8.6e-09,missing
rails/rails,,,missing,0.2050756325,0.206,close,0.0,1.46e-15,close,,,missing,0.0654243047,0.065,close,0.0114058675,0.01239009,different,,,missing,0.2128985549,0.216,close,missing,0.0,missing
